accuracy,precision,recall,f1_score,log_loss,repetition
0.8097721793042366,0.7967168678581442,0.809921494756785,0.7934629614099995,0.5547991187595744,1
0.8083255424888058,0.7968482469352649,0.8098712616702943,0.7935820104442428,0.557815242389562,2
0.8088077547606162,0.7965553426636138,0.8090545092702148,0.792858504395648,0.5579882548476027,3
0.8087782315603013,0.7954663917567343,0.8089852460719673,0.7926401540282523,0.557953406324148,4
0.8086281552920337,0.7950971576284871,0.808867009240039,0.7927557337426889,0.5572519461679541,5
0.8085125227574668,0.7956805943130243,0.8086642699397867,0.7923213531733018,0.5571940202084613,6
0.80859125129164,0.7939367977211115,0.8088298825588073,0.7925079404626068,0.5587795057125525,7
0.809024258229592,0.7963094673914898,0.8091440637386278,0.7928428596805472,0.5574162984285704,8
0.8079417408847119,0.7959157733402351,0.8097677620762791,0.7932548122389693,0.5587715478961647,9
0.8090931456969935,0.7980561322903301,0.8110831945015251,0.7948081179071258,0.5574907413800546,10
