accuracy,precision,recall,f1_score,log_loss,repetition
0.32,0.34792496392496386,0.35428571428571426,0.34395502645502646,2.1465086051451796,1
0.35,0.40490298998387236,0.3763235294117647,0.3728481792717087,2.2628962254276006,2
0.35,0.3759934670592565,0.35368421052631577,0.35012147793726744,2.176631545643022,3
0.34,0.3531147186147186,0.35666666666666663,0.35018911265867786,2.259054322374857,4
0.29000000000000004,0.3144621848739496,0.30058823529411766,0.29807826976944624,2.4421501305634554,5
0.35,0.39588160304607667,0.4375438596491228,0.40227192982456145,2.3195086148519737,6
0.4,0.4210704099821747,0.4458823529411765,0.4244350687675496,2.020232793247639,7
0.32999999999999996,0.35705128205128206,0.32999999999999996,0.3242,2.325123037657042,8
0.36,0.35825641025641025,0.36,0.35156926406926403,2.1780175999769757,9
0.3,0.33491630860488997,0.3158823529411765,0.30976169548279087,2.1784533418797727,10
