accuracy,precision,recall,f1_score,log_loss,repetition
0.6521,0.6271,0.6551,0.6202,0.9392,1
0.6519,0.6278,0.6552,0.6202,0.9360,2
0.6521,0.6266,0.6535,0.6186,0.9362,3
0.6522,0.6251,0.6554,0.6204,0.9373,4
0.6520,0.6246,0.6528,0.6179,0.9377,5
0.6514,0.6248,0.6533,0.6183,0.9414,6
0.6520,0.6286,0.6550,0.6200,0.9385,7
0.6518,0.6267,0.6525,0.6179,0.9394,8
0.6518,0.6250,0.6546,0.6196,0.9387,9
0.6521,0.6250,0.6547,0.6198,0.9346,10
