accuracy,precision,recall,f1_score,log_loss,repetition
0.6307730157949122,0.6176275636254984,0.6504106983113875,0.612699999248453,0.9455828027035637,1
0.6076169856812479,0.6125620979209637,0.6636897455264246,0.5737403744349756,0.9949322806699902,2
0.6216109826305172,0.6192600021293839,0.6385250973118346,0.5767846447867598,0.9395948538760959,3
0.6149190572258032,0.6230266894811078,0.6317349094142746,0.5959731511186938,0.9773369306413603,4
0.6338335875608915,0.6295000874299331,0.6510723544837902,0.6083156862692174,0.9343120659187714,5
0.6340205678295529,0.6292762565635506,0.6539829307371919,0.6059314009244495,0.9353965553911625,6
0.6357230723810461,0.6306466792888925,0.6580717428830886,0.6090395000417799,0.936351373113359,7
0.6237661762535058,0.6190172345394416,0.6732930526297549,0.6262666750770018,0.9653200428209647,8
0.6282044973675147,0.631489918783867,0.6478672910609091,0.6087223360574888,0.9431308034105091,9
0.6243664813265758,0.6156933932560923,0.6436906532471237,0.5893079622773719,0.958743105012674,10
