accuracy,precision,recall,f1_score,log_loss,repetition
0.18768554511309024,0.18768554511309024,1.0,0.31604530784253737,1.129711873067069,1
0.18932982335285145,0.18932982335285145,1.0,0.318368353887456,1.1280349129115321,2
0.17282143384342863,0.18840382893930085,0.9126067302862884,0.3107676521114221,1.1597560013743102,3
0.1893175220193869,0.1893175220193869,1.0,0.31836202022478355,1.127442838628153,4
0.18944053535403238,0.18944053535403238,1.0,0.3185280720910313,1.1277546370178835,5
0.1910520100378881,0.1910520100378881,1.0,0.32080662198729665,1.1334689415575938,6
0.19017861536190522,0.19017861536190522,1.0,0.3195796855941305,1.1290511186452563,7
0.19015401269497612,0.19015401269497612,1.0,0.3195424067032966,1.1285109411934293,8
0.18963735668946516,0.18963735668946516,1.0,0.31881193918080203,1.1289436177882275,9
0.18941593268710327,0.18941593268710327,1.0,0.31849405252125396,1.1296582746387513,10
