accuracy,precision,recall,f1_score,log_loss,repetition
0.7452147812822909,0.7467433466872023,0.7466956399146403,0.7225565226403912,0.888017274588524,1
0.7444373370073316,0.743730797238064,0.7446060575349425,0.7205042638868027,0.8776522633906476,2
0.7438173498007183,0.7454443977291979,0.7446758782425043,0.7205117836463281,0.8683480096422509,3
0.7449097082123701,0.7467630927511234,0.7451004822307198,0.7210854532291524,0.8744973881020497,4
0.7431284751267038,0.743906476861705,0.7434648932239313,0.7191223968358699,0.8785456698816491,5
0.742823402056783,0.7444659384874299,0.7443894983795595,0.7200420287644234,0.876183338789423,6
0.7451360527481179,0.7461456938258164,0.7453051879758983,0.7212219692184338,0.8851188817967636,7
0.7433941839295379,0.7436922568670955,0.7442400426581497,0.7201945814317424,0.8787402585288699,8
0.7432367268611919,0.7456852243684982,0.7441322464282178,0.7200226698188478,0.8760576974736571,9
0.7436303695320574,0.7451680524651648,0.7438862568982716,0.7197584862047743,0.8733996680584373,10
