accuracy,precision,recall,f1_score,log_loss,repetition
0.5181420065935147,0.4687619756985025,0.5181573594932253,0.4807510026073044,3.948484581830339,1
0.5195984844757172,0.46907526484790807,0.5196648628736601,0.4807843624513799,3.90819388785597,2
0.5199429218127245,0.46886417279126746,0.519958422899545,0.4808957094125349,3.9254302391873876,3
0.5211336908920926,0.47094371268392027,0.5211489087070581,0.48228202181487567,3.9046080605147915,4
0.5194311863405993,0.46942582168066416,0.5194465828229458,0.48139188209131045,3.8999368353252146,5
0.5197165772769768,0.4698761171522577,0.5197319364500304,0.4817823889959355,3.905984691354992,6
0.52033656448359,0.46996224473092224,0.5203519933896235,0.48164327502387927,3.887782661789631,7
0.5204251340845347,0.47019175080447695,0.5204405654345149,0.4821552556542047,3.953343072943433,8
0.5211927372927226,0.47108774392612407,0.5212081720098375,0.4825692095833503,3.9339117952832168,9
0.5214190818284702,0.4716108163348,0.5214344056507771,0.4831897152795327,3.888763826524154,10
